"지역별(1)","시점","도착출발별(1)",운항 (편),여객 (명),화물 (톤)
"일본","2010.06","출발",2428,439870,20495
"일본","2010.07","도착",2597,457259,18867
"일본","2010.07","출발",2588,477828,20438
"일본","2010.08","도착",2641,536945,18733
"일본","2010.08","출발",2624,509551,20178
"일본","2010.09","도착",2557,470592,18560
"일본","2010.09","출발",2550,478098,20733
"일본","2010.10","도착",2553,498926,19514
"일본","2010.10","출발",2546,507609,22947
"일본","2010.11","도착",2558,472553,17591
"일본","2010.11","출발",2552,478328,22275
"일본","2010.12","도착",2658,444378,19362
"일본","2010.12","출발",2645,442538,21892
"일본","2011.01","도착",2716,449831,17845
"일본","2011.01","출발",2716,484040,19414
"일본","2011.02","도착",2474,466355,18058
"일본","2011.02","출발",2465,441909,17911
"일본","2011.03","도착",2628,447837,18852
"일본","2011.03","출발",2606,379975,21051
"일본","2011.04","도착",2220,302012,16990
"일본","2011.04","출발",2201,317495,17573
"일본","2011.05","도착",2326,338031,16022
"일본","2011.05","출발",2315,366314,16964
"일본","2011.06","도착",2306,382421,18196
"일본","2011.06","출발",2286,393745,17332
"일본","2011.07","도착",2601,427160,17319
"일본","2011.07","출발",2593,446409,18823
"일본","2011.08","도착",2609,502715,17030
"일본","2011.08","출발",2597,485222,18207
"일본","2011.09","도착",2537,453778,16421
"일본","2011.09","출발",2527,475345,19157
"일본","2011.10","도착",2701,493254,17294
"일본","2011.10","출발",2691,494952,21090
"일본","2011.11","도착",2619,475858,16898
"일본","2011.11","출발",2614,482054,21846
"일본","2011.12","도착",2703,464260,18258
"일본","2011.12","출발",2697,448408,20863
"일본","2012.01","도착",2731,421298,15793
"일본","2012.01","출발",2730,455628,17794
"일본","2012.02","도착",2612,483249,17302
"일본","2012.02","출발",2608,469602,19575
"일본","2012.03","도착",2809,520198,17342
"일본","2012.03","출발",2808,516673,21804
"일본","2012.04","도착",2809,475672,16263
"일본","2012.04","출발",2810,467077,19505
"일본","2012.05","도착",2948,470333,15211
"일본","2012.05","출발",2955,482660,20252
"일본","2012.06","도착",2845,469729,16451
"일본","2012.06","출발",2843,465593,20040
"일본","2012.07","도착",3045,491824,15930
"일본","2012.07","출발",3046,516419,19876
"일본","2012.08","도착",3042,588170,16512
"일본","2012.08","출발",3037,563793,20340
"일본","2012.09","도착",2984,467914,15563
"일본","2012.09","출발",2978,516071,20681
"일본","2012.10","도착",3085,468668,15904
"일본","2012.10","출발",3088,451628,19932
"일본","2012.11","도착",2952,449638,14721
"일본","2012.11","출발",2942,456021,20548
"일본","2012.12","도착",3117,463826,16026
"일본","2012.12","출발",3115,434753,17954
