"시점", 선행종합지수(2020=100), 재고순환지표(%p), 경제심리지수, 기계류내수출하지수(선박제외)(2020=100), 건설수주액(실질)(십억원),수출입물가비율(2015=100),코스피(1980.1.4=100), 장단기금리차(%p), 동행종합지수(2020=100), 광공업생산지수(2020=100), 서비스업생산지수(도소매업제외)(2020=100), 건설기성액(실질)(십억원), 소매판매액지수(2020=100), 내수출하지수(2020=100), 수입액(실질)(백만불), 비농림어업취업자수(천명), 후행종합지수(2020=100), 생산자제품재고지수(2020=100), 소비자물가지수변화율(서비스), 소비재수입액(실질)(백만불), 취업자수(천명), CP유통수익률(%p)
"1974.07",5.7,-,-,-,-,-,-,-,6.7,-,-,-,-,-,-,-,6.1,-,-,-,-,-
"1974.08",5.7,-,-,-,-,-,-,-,6.7,-,-,-,-,-,-,-,6.2,-,-,-,-,-
"1974.09",5.7,-,-,-,-,-,-,-,6.7,-,-,-,-,-,-,-,6.2,-,-,-,-,-
"1974.10",5.7,-,-,-,-,-,-,-,6.6,-,-,-,-,-,-,-,6.3,-,-,-,-,-
"1974.11",5.8,-,-,-,-,-,-,-,6.6,-,-,-,-,-,-,-,6.4,-,-,-,-,-
"1974.12",5.9,-,-,-,-,-,-,-,6.7,-,-,-,-,-,-,-,6.4,-,-,-,-,-
"1975.01",5.9,-,-,-,-,-,-,-,6.8,-,-,-,-,-,-,-,6.4,-,-,-,-,-
"1975.02",6.0,-,-,-,-,-,-,-,6.9,-,-,-,-,-,-,-,6.5,-,-,-,-,-
"1975.03",6.0,-,-,-,-,-,-,-,6.9,-,-,-,-,-,-,-,6.5,-,-,-,-,-
"1975.04",6.2,-,-,-,-,-,-,-,7.0,-,-,-,-,-,-,-,6.5,-,-,-,-,-
"1975.05",6.3,-,-,-,-,-,-,-,7.0,-,-,-,-,-,-,-,6.5,-,-,-,-,-
"1975.06",6.4,-,-,-,-,-,-,-,7.1,-,-,-,-,-,-,-,6.5,-,-,-,-,-
"1975.07",6.5,-,-,-,-,-,-,-,7.1,-,-,-,-,-,-,-,6.4,-,-,-,-,-
"1975.08",6.6,-,-,-,-,-,-,-,7.2,-,-,-,-,-,-,-,6.5,-,-,-,-,-
"1975.09",6.6,-,-,-,-,-,-,-,7.3,-,-,-,-,-,-,-,6.5,-,-,-,-,-
"1975.10",6.8,-,-,-,-,-,-,-,7.4,-,-,-,-,-,-,-,6.6,-,-,-,-,-
"1975.11",6.8,-,-,-,-,-,-,-,7.6,-,-,-,-,-,-,-,6.6,-,-,-,-,-
"1975.12",6.9,-,-,-,-,-,-,-,7.7,-,-,-,-,-,-,-,6.7,-,-,-,-,-
"1976.01",7.0,-,-,-,-,-,-,-,7.8,-,-,-,-,-,-,-,6.8,-,-,-,-,-
"1976.02",7.1,-,-,-,-,-,-,-,7.9,-,-,-,-,-,-,-,7.0,-,-,-,-,-
"1976.03",7.2,-,-,-,-,-,-,-,8.0,-,-,-,-,-,-,-,7.1,-,-,-,-,-
