대여소,상태,주소,위도,경도,구
명동성당 앞,운영중,서울특별시 중구 명동길 74 명동성당 앞,37.564476,126.986969,중구
신세계백화점 본점 앞,운영중,서울특별시 중구 퇴계로 77 신세계백화점 본점 앞,37.56134,126.9804,중구
안국역 5번출구 앞,운영중,서울특별시 종로구 율곡로 지하62 안국역 5번출구 앞,37.576241,126.98616,종로구
낙원상가 옆,운영중,서울특별시 종로구 삼일대로 428 낙원상가 옆,37.573357,126.987465,종로구
탑골공원 앞,운영중,서울특별시 종로구 종로 99 탑골공원 앞,37.570396,126.98819,종로구
청계2가 사거리 옆,운영중,서울특별시 종로구 청계천로 93 청계2가 사거리 옆,37.568344,126.987892,종로구
청계천 한빛광장,운영중,서울특별시 중구 남대문로10길 33 삼각동 118,37.568165,126.984978,중구
을지로2가 사거리 남측,운영중,서울특별시 중구 을지로 100 을지로2가 사거리 남측,37.56599,126.987793,중구
종로3가역 2번출구 뒤,운영중,서울특별시 종로구 종로 지하129 종로3가역 2번출구 뒤,37.570599,126.991791,종로구
종로3가역 15번출구 앞,운영중,서울특별시 종로구 종로 지하129 15번출구 앞,37.570198,126.991257,종로구
티마크 호텔 앞,운영중,서울특별시 중구 충무로 15 티마크호텔 앞,37.562618,126.992836,중구
창경궁 입구,운영중,서울특별시 종로구 창경궁로 185 창경궁 입구,37.578979,126.996475,종로구
세운스퀘어 앞,운영중,서울특별시 종로구 창경궁로 109 세운스퀘어 앞,37.570957,126.997124,종로구
종로4가 사거리,운영중,서울특별시 종로구 종로 185 종로4가 사거리,37.571068,126.998192,종로구
혜화동 로터리,운영중,서울특별시 종로구 창경궁로 271-1 혜화동 로터리,37.585629,127.000679,종로구
혜화역 3번출구 뒤,운영중,서울특별시 종로구 대학로 지하120 혜화역 3번출구 뒤,37.58157,127.001785,종로구
대학로 마로니에공원,운영중,서울특별시 종로구 대학로 104 대학로 마로니에공원,37.579784,127.002533,종로구
예일빌딩(율곡로) 앞,운영중,서울특별시 종로구 율곡로 238 예일빌딩(율곡로) 앞,37.575432,127.004982,종로구
성균관대 E하우스 앞,운영중,서울특별시 종로구 율곡로 259 성균관대 E하우스 앞,37.574036,127.006721,종로구
서울보증보험본사 앞,운영중,서울특별시 종로구 김상옥로 29 서울보증보험본사 앞,37.573307,127.00071,종로구
맥스타일 앞,운영중,서울특별시 중구 마장로 3 맥스타일,37.569183,127.00988,중구
동대문역사문화공원역 9번출구 앞,운영중,서울특별시 중구 장충단로 지하230 동대문역사문화공원역 9번출구 앞,37.565331,127.007843,중구
독립문역 사거리,운영중,서울특별시 종로구 교북동 10-1 독립문역 사거리,37.572029,126.96078500000002,종로구
사직동주민센터,운영중,서울특별시 종로구 사직로9길 5 사직동주민센터,37.576332,126.96859,종로구
군자역2번출구,운영중,서울특별시 광진구 능동로 313 군자역2번출구,37.557587,127.079697,광진구
광진구청 앞,운영중,서울특별시 광진구 자양로 131 광진구청 앞,37.539501,127.083,광진구
중곡역 1번출구,운영중,서울특별시 광진구 능동로 지하 417 중곡역 1번출구 앞,37.565659,127.084297,광진구
광진유진스웰,운영중,서울특별시 광진구 아차산로78길 7 광진유진스웰,37.550488,127.108955,광진구
원일교회,운영중,서울특별시 광진구 아차산로 304 원일교회,37.538052,127.076599,광진구
신양초교앞 교차로,운영중,서울특별시 광진구 능동로 42 신양초교앞 교차로,37.535221,127.068398,광진구
영동대교 북단,운영중,서울특별시 광진구 자양동 203-22 영동대교 북단,37.537014,127.061096,광진구
어린이회관,운영중,서울특별시 광진구 능동 465-7 어린이회관,37.545952,127.078003,광진구
화양사거리,운영중,서울특별시 광진구 화양동 21-6 화양사거리,37.548222,127.067879,광진구
세종사이버대학교,운영중,서울특별시 광진구 군자동 111-2 세종사이버대학교,37.553417,127.073196,광진구
청운초교 앞 삼거리,운영중,서울특별시 종로구 청운동 108-22 청운초교 앞 삼거리,37.585079,126.970619,종로구
중곡SK아파트앞,운영중,서울특별시 광진구 용마산로32길 32 중곡SK아파트앞,37.568649,127.08625,광진구
응봉역 1번출구,운영중,서울특별시 성동구 고산자로 123 응봉동 3-10,37.55125,127.035103,성동구
상왕십리역 1번출구,운영중,서울특별시 성동구 하왕십리동 860-1 상왕십리역 1번출구,37.56461,127.029198,성동구
왕십리교회옆,운영중,서울특별시 성동구 상왕십리동 350-1 왕십리교회옆,37.566261,127.023697,성동구
서울숲 관리사무소,운영중,서울특별시 성동구 성수동1가 678-1 서울숲 관리사무소,37.542816,127.042084,성동구
구의아리수정수센터앞,운영중,서울특별시 광진구 광나루로 571 구의아리수정수센터앞,37.543705,127.093246,광진구
용마사거리,운영중,서울특별시 광진구 능동로 373 용마사거리,37.562527,127.082275,광진구
용답역 1번 출구,운영중,서울특별시 성동구 용답길 86 용답역 1번 출구,37.562607,127.051308,성동구
